transaction_id,customer_id,amount,merchant_category,transaction_hour,country,num_transactions_today,account_age_days,is_new_device,is_fraud
1,1102,176.64,grocery,12,IN,2,1367,0,0
2,1179,166.23,online,21,US,1,2868,0,0
3,1092,95.21,electronics,20,NG,19,2723,0,1
4,1014,82.33,travel,22,IN,4,99,0,0
5,1106,459.81,grocery,18,IN,2,1367,0,0
6,1071,187.07,grocery,2,IN,14,208,0,0
7,1188,56.04,grocery,9,US,2,547,0,0
8,1020,137.93,travel,1,IN,15,310,0,0
9,1102,80.2,travel,12,IN,12,733,0,0
10,1121,542.69,gas,18,US,5,1608,0,0
11,1074,1.51,electronics,16,US,7,1469,0,0
12,1087,51.06,gas,20,IN,10,77,0,0
13,1116,90.94,electronics,13,US,14,2516,0,0
14,1099,133.81,travel,11,IN,14,1547,0,0
15,1103,380.52,travel,20,IN,5,407,0,0
16,1151,18.4,gas,11,UK,18,629,1,0
17,1130,327.84,online,10,US,14,1594,1,0
18,1149,11.45,gas,6,IN,2,1173,0,0
19,1052,369.43,electronics,3,IN,12,739,0,0
20,1001,10.6,gas,18,IN,6,565,0,0
21,1087,3.68,grocery,0,IN,4,1962,1,0
22,1157,238.78,electronics,23,IN,13,2838,0,0
23,1037,1179.63,electronics,2,IN,4,1761,0,1
24,1129,453.85,online,12,IN,14,2951,0,0
25,1191,171.6,travel,14,US,16,2667,0,0
26,1187,498.74,electronics,1,US,4,2805,1,0
27,1020,1.06,travel,10,US,1,2339,0,0
28,1160,738.31,gas,3,IN,13,2718,0,0
29,1057,134.96,grocery,18,RU,4,2981,1,1
30,1021,256.67,online,16,UK,18,1005,0,0
31,1088,343.92,travel,2,UK,6,1969,0,0
32,1048,253.49,electronics,17,UK,3,1611,0,0
33,1058,153.16,travel,7,NG,13,2803,1,1
34,1169,129.49,electronics,21,IN,16,1490,0,0
35,1187,364.75,travel,23,IN,5,2144,0,0
36,1014,45.9,electronics,18,US,4,1112,0,0
37,1189,688.37,gas,4,US,8,2848,0,0
38,1189,248.23,electronics,6,US,19,2361,0,0
39,1174,44.51,electronics,20,IN,14,1413,0,0
40,1189,266.55,grocery,7,IN,7,2187,0,0
41,1050,150.94,electronics,4,IN,14,2653,1,0
42,1107,245.67,grocery,16,NG,6,1309,0,0
43,1054,292.01,online,4,IN,12,1732,0,0
44,1063,18.27,grocery,3,IN,16,2615,0,0
45,1130,141.09,gas,21,IN,17,908,0,0
46,1050,537.69,grocery,18,IN,13,1216,1,0
47,1134,77.32,online,20,UK,14,1545,0,0
48,1020,180.22,gas,1,US,7,87,0,0
49,1072,92.16,travel,10,US,14,2841,0,0
50,1166,121.13,travel,21,IN,15,2731,0,0
51,1017,159.08,grocery,12,US,12,1542,0,0
52,1131,159.22,grocery,14,IN,17,247,0,0
53,1088,45.06,online,11,US,9,1167,0,0
54,1059,230.76,online,21,IN,15,2006,0,0
55,1013,18.39,electronics,20,IN,12,1225,0,0
56,1008,29.89,online,21,US,2,287,0,0
57,1089,0.54,electronics,10,NG,5,533,1,1
58,1052,24.82,gas,6,IN,13,189,0,0
59,1129,128.17,grocery,4,UK,8,132,0,0
60,1083,186.33,gas,16,IN,14,1279,0,0
61,1091,316.26,online,23,IN,15,1767,0,0
62,1110,22.57,gas,19,IN,11,1104,0,0
63,1187,380.4,gas,8,IN,1,489,1,0
64,1198,274.06,gas,13,IN,3,1807,0,0
65,1171,105.02,online,11,IN,17,2141,1,0
66,1007,540.43,gas,5,IN,19,2622,0,0
67,1174,940.55,electronics,16,NG,14,2676,0,1
68,1034,45.88,online,18,IN,8,2414,1,0
69,1080,95.36,gas,18,US,13,825,0,0
70,1163,521.96,online,15,IN,3,2704,1,0
71,1049,255.74,travel,11,US,5,452,0,0
72,1103,9.86,electronics,11,IN,9,2580,1,0
73,1131,304.21,gas,19,IN,6,152,0,0
74,1001,351.98,travel,5,IN,2,201,0,0
75,1133,277.66,travel,22,IN,13,1420,0,0
76,1053,321.43,online,3,IN,5,387,0,0
77,1105,348.75,travel,5,US,8,2638,0,0
78,1003,41.26,electronics,10,UK,1,544,0,0
79,1053,53.76,electronics,0,UK,12,1726,0,0
80,1190,200.89,grocery,23,US,11,1042,0,0
81,1145,476.9,electronics,22,IN,7,1420,0,0
82,1043,76.02,travel,14,IN,15,2150,0,0
83,1161,177.5,electronics,10,IN,11,1999,0,0
84,1189,229.76,online,18,IN,16,2586,0,0
85,1013,120.28,grocery,17,IN,3,1187,0,0
86,1094,250.2,travel,16,IN,14,414,0,0
87,1047,459.85,grocery,18,IN,3,2897,0,0
88,1014,195.69,travel,20,IN,1,1182,1,0
89,1199,155.21,online,13,UK,15,898,1,0
90,1189,115.52,grocery,17,US,1,431,0,0
91,1039,172.31,gas,18,IN,17,1651,0,0
92,1081,87.81,travel,14,NG,2,481,0,0
93,1110,99.35,gas,14,RU,6,2950,0,0
94,1052,151.8,grocery,3,IN,8,556,0,0
95,1023,13.79,gas,6,IN,16,640,0,0
96,1153,52.02,gas,12,IN,19,1047,0,0
97,1187,156.55,grocery,2,NG,1,2835,0,1
98,1123,112.96,online,15,UK,3,1839,0,0
99,1040,80.94,gas,8,IN,3,373,1,0
100,1156,262.27,gas,7,IN,5,2176,0,0
101,1014,236.65,online,19,IN,12,555,1,0
102,1044,36.48,gas,12,IN,12,2579,1,0
103,1064,421.78,gas,16,IN,13,643,0,0
104,1088,136.81,gas,16,UK,9,1946,0,0
105,1070,270.54,electronics,16,US,7,1690,0,0
106,1008,170.26,online,0,UK,4,972,1,0
107,1087,1214.33,gas,7,UK,19,892,1,1
108,1128,279.19,online,18,US,19,2837,0,0
109,1135,245.5,travel,5,IN,6,880,0,0
110,1062,301.53,travel,2,US,13,525,0,0
111,1138,30.89,gas,4,IN,11,2995,0,0
112,1080,45.77,online,12,US,13,1430,0,0
113,1135,250.4,online,14,IN,13,875,1,0
114,1162,136.24,online,13,US,15,2163,0,0
115,1162,281.0,electronics,22,IN,13,1118,0,0
116,1032,21.72,travel,15,IN,11,223,0,0
117,1122,153.78,online,17,IN,19,2907,0,0
118,1004,95.23,online,21,IN,8,2254,0,0
119,1040,122.13,electronics,21,US,8,28,0,0
120,1027,185.25,electronics,10,US,10,651,1,0
121,1134,139.55,online,2,IN,16,1114,1,1
122,1071,155.25,grocery,21,IN,19,339,0,0
123,1011,133.25,online,9,IN,11,875,1,0
124,1161,105.17,online,9,IN,13,783,0,0
125,1032,295.58,electronics,20,IN,9,401,0,0
126,1047,2.46,electronics,15,UK,19,646,0,0
127,1150,182.48,online,11,IN,16,2364,0,0
128,1061,166.72,online,1,IN,7,2952,1,0
129,1036,251.88,online,8,IN,19,2709,0,0
130,1098,182.77,electronics,23,IN,12,2898,0,0
131,1171,350.66,online,2,IN,15,1035,0,0
132,1103,639.2,online,23,US,14,2577,0,0
133,1034,83.87,gas,14,IN,11,1684,0,0
134,1192,51.59,grocery,2,IN,10,2693,0,0
135,1100,110.19,travel,18,IN,11,749,0,0
136,1174,67.92,grocery,17,IN,6,1555,0,0
137,1130,190.88,gas,7,IN,2,478,1,0
138,1000,485.75,travel,16,RU,11,2269,0,0
139,1004,29.96,online,7,US,19,1145,0,0
140,1141,21.25,gas,6,IN,6,1041,0,0
141,1102,59.15,online,6,IN,14,2861,0,0
142,1026,259.0,electronics,2,IN,6,2534,0,0
143,1136,179.77,gas,0,IN,17,883,0,0
144,1014,21.56,electronics,3,US,10,469,1,0
145,1089,502.05,gas,4,US,1,2310,0,0
146,1041,312.21,gas,0,IN,3,1559,1,0
147,1123,4.66,electronics,14,IN,8,761,1,0
148,1178,210.75,travel,4,IN,8,1471,0,0
149,1062,295.02,grocery,12,UK,15,1787,0,0
150,1095,93.82,online,7,US,7,863,0,0
151,1051,14.28,gas,7,IN,11,2293,1,0
152,1095,16.09,online,4,IN,7,1339,1,0
153,1131,22.02,electronics,8,US,4,487,0,0
154,1150,367.07,online,0,IN,12,2736,0,0
155,1142,483.12,electronics,3,IN,6,2273,0,0
156,1170,26.21,online,2,IN,14,2912,1,0
157,1028,53.81,grocery,1,US,12,144,1,0
158,1035,36.19,grocery,7,IN,11,2962,0,0
159,1012,41.24,grocery,22,IN,19,1162,0,0
160,1159,363.4,grocery,8,UK,5,419,0,0
161,1070,80.74,grocery,1,IN,14,1455,0,0
162,1186,74.63,grocery,13,IN,16,1327,1,0
163,1085,51.6,electronics,13,IN,13,1279,0,0
164,1027,187.24,gas,3,IN,4,1589,0,0
165,1065,95.38,online,5,US,11,95,0,0
166,1169,272.71,grocery,10,IN,17,2613,1,0
167,1044,46.03,electronics,2,IN,7,1875,0,0
168,1061,310.04,electronics,7,IN,14,1479,0,0
169,1184,185.13,electronics,2,US,11,387,0,0
170,1133,24.27,gas,13,US,9,1690,1,0
171,1027,107.06,online,12,IN,13,1084,1,0
172,1027,398.31,gas,12,IN,18,251,0,0
173,1107,512.69,travel,1,US,11,929,0,0
174,1043,125.36,electronics,12,IN,15,1596,0,0
175,1083,131.11,travel,18,UK,19,2323,0,0
176,1029,501.32,grocery,5,UK,1,2769,0,0
177,1189,176.89,grocery,15,UK,4,1281,1,0
178,1074,6.68,gas,1,IN,14,79,0,0
179,1127,487.79,online,7,IN,14,2114,1,0
180,1091,57.06,travel,16,US,3,1415,0,0
181,1189,172.38,online,22,IN,17,2096,0,0
182,1128,36.19,gas,1,IN,3,2017,0,0
183,1120,6.89,grocery,9,UK,16,810,0,0
184,1026,74.64,online,15,UK,14,1051,0,0
185,1189,303.28,online,5,IN,13,2789,0,0
186,1120,65.03,grocery,1,IN,15,834,0,0
187,1115,49.72,travel,1,IN,14,765,0,0
188,1002,47.82,grocery,12,UK,19,2409,0,0
189,1102,144.79,online,23,NG,6,2005,1,1
190,1197,742.15,travel,14,IN,10,1849,0,0
191,1199,122.86,travel,1,IN,15,1331,1,0
192,1154,162.98,grocery,6,UK,6,2340,0,0
193,1136,394.13,online,2,IN,10,1619,0,0
194,1061,153.17,gas,7,IN,7,119,0,0
195,1164,40.78,online,22,RU,17,1026,1,1
196,1050,71.22,electronics,13,IN,18,1971,0,0
197,1171,74.19,gas,23,US,17,2601,0,0
198,1151,101.27,travel,22,IN,9,1779,0,0
199,1058,111.3,gas,21,IN,10,34,0,0
200,1117,321.67,travel,6,UK,10,852,0,0
201,1159,85.97,travel,20,IN,7,2848,0,0
202,1095,126.31,gas,6,RU,16,747,0,1
203,1179,196.15,travel,0,IN,18,2114,1,1
204,1112,94.87,travel,16,IN,6,189,0,0
205,1061,362.27,electronics,8,IN,1,241,0,0
206,1185,177.08,online,20,IN,1,1927,0,0
207,1051,69.64,online,12,IN,12,352,0,0
208,1011,250.39,electronics,20,IN,2,486,0,0
209,1038,150.01,gas,18,IN,4,1832,0,0
210,1129,152.91,grocery,20,IN,17,2633,1,0
211,1130,131.2,grocery,18,US,4,464,1,0
212,1112,137.44,grocery,21,US,11,1265,1,0
213,1100,289.94,electronics,16,US,4,298,0,0
214,1112,21.74,electronics,22,IN,1,1246,0,0
215,1183,81.4,travel,22,IN,7,2315,0,0
216,1080,15.7,grocery,9,US,18,539,0,0
217,1186,279.87,gas,9,IN,9,2744,0,0
218,1112,63.57,gas,3,IN,3,2986,0,0
219,1001,455.44,grocery,7,UK,8,2286,0,0
220,1129,149.55,grocery,21,US,19,605,0,0
